meeting_date,midpoint,year,num_participants
2021-03-17,0.125,2021,18
2021-03-17,0.125,2022,14
2021-03-17,0.375,2022,3
2021-03-17,0.625,2022,1
2021-03-17,0.125,2023,11
2021-03-17,0.375,2023,1
2021-03-17,0.625,2023,1
2021-03-17,0.875,2023,3
2021-03-17,1.125,2023,2
2021-03-17,2.000,longer_run,1
2021-03-17,2.250,longer_run,4
2021-03-17,2.375,longer_run,1
2021-03-17,2.500,longer_run,8
2021-03-17,2.750,longer_run,1
2021-03-17,3.000,longer_run,2
2021-06-16,0.125,2021,18
2021-06-16,0.125,2022,11
2021-06-16,0.375,2022,5
2021-06-16,0.625,2022,2
2021-06-16,0.125,2023,5
2021-06-16,0.375,2023,2
2021-06-16,0.625,2023,3
2021-06-16,0.875,2023,3
2021-06-16,1.125,2023,3
2021-06-16,1.625,2023,2
2021-06-16,2.000,longer_run,1
2021-06-16,2.250,longer_run,4
2021-06-16,2.375,longer_run,1
2021-06-16,2.500,longer_run,8
2021-06-16,2.750,longer_run,1
2021-06-16,3.000,longer_run,2
2021-09-22,0.125,2021,18
2021-09-22,0.125,2022,9
2021-09-22,0.375,2022,6
2021-09-22,0.625,2022,3
2021-09-22,0.125,2023,1
2021-09-22,0.375,2023,4
2021-09-22,0.625,2023,3
2021-09-22,0.875,2023,1
2021-09-22,1.125,2023,6
2021-09-22,1.625,2023,3
2021-09-22,0.625,2024,1
2021-09-22,0.875,2024,3
2021-09-22,1.125,2024,3
2021-09-22,1.625,2024,2
2021-09-22,1.875,2024,1
2021-09-22,2.125,2024,6
2021-09-22,2.375,2024,1
2021-09-22,2.625,2024,1
2021-09-22,2.000,longer_run,1
2021-09-22,2.250,longer_run,4
2021-09-22,2.375,longer_run,1
2021-09-22,2.500,longer_run,9
2021-09-22,3.000,longer_run,2
2021-12-15,0.125,2021,18
2021-12-15,0.375,2022,1
2021-12-15,0.625,2022,5
2021-12-15,0.875,2022,10
2021-12-15,1.125,2022,2
2021-12-15,1.125,2023,2
2021-12-15,1.375,2023,5
2021-12-15,1.625,2023,3
2021-12-15,1.875,2023,5
2021-12-15,2.125,2023,3
2021-12-15,1.875,2024,5
2021-12-15,2.125,2024,5
2021-12-15,2.250,2024,1
2021-12-15,2.375,2024,2
2021-12-15,2.875,2024,4
2021-12-15,3.125,2024,1
2021-12-15,2.000,longer_run,1
2021-12-15,2.250,longer_run,4
2021-12-15,2.375,longer_run,1
2021-12-15,2.500,longer_run,9
2021-12-15,3.000,longer_run,2
2022-03-16,1.375,2022,1
2022-03-16,1.625,2022,3
2022-03-16,1.875,2022,5
2022-03-16,2.125,2022,2
2022-03-16,2.375,2022,3
2022-03-16,2.625,2022,1
2022-03-16,3.125,2022,1
2022-03-16,2.125,2023,1
2022-03-16,2.375,2023,4
2022-03-16,2.625,2023,3
2022-03-16,2.875,2023,3
2022-03-16,3.125,2023,2
2022-03-16,3.375,2023,1
2022-03-16,3.625,2023,2
2022-03-16,2.125,2024,2
2022-03-16,2.250,2024,1
2022-03-16,2.375,2024,3
2022-03-16,2.625,2024,2
2022-03-16,2.875,2024,3
2022-03-16,3.125,2024,1
2022-03-16,3.375,2024,2
2022-03-16,3.625,2024,2
2022-03-16,2.000,longer_run,1
2022-03-16,2.250,longer_run,6
2022-03-16,2.375,longer_run,1
2022-03-16,2.500,longer_run,5
2022-03-16,3.000,longer_run,2
2022-06-15,3.125,2022,5
2022-06-15,3.375,2022,8
2022-06-15,3.625,2022,4
2022-06-15,3.875,2022,1
2022-06-15,2.875,2023,1
2022-06-15,3.375,2023,1
2022-06-15,3.625,2023,7
2022-06-15,3.875,2023,4
2022-06-15,4.125,2023,4
2022-06-15,4.375,2023,1
2022-06-15,2.125,2024,1
2022-06-15,2.250,2024,1
2022-06-15,2.875,2024,2
2022-06-15,3.125,2024,2
2022-06-15,3.375,2024,8
2022-06-15,3.625,2024,2
2022-06-15,3.875,2024,1
2022-06-15,4.125,2024,1
2022-06-15,2.000,longer_run,1
2022-06-15,2.250,longer_run,6
2022-06-15,2.375,longer_run,1
2022-06-15,2.500,longer_run,7
2022-06-15,3.000,longer_run,2
2022-09-21,3.875,2022,1
2022-09-21,4.125,2022,8
2022-09-21,4.375,2022,9
2022-09-21,4.625,2022,1
2022-09-21,3.875,2023,1
2022-09-21,4.375,2023,6
2022-09-21,4.625,2023,6
2022-09-21,4.875,2023,6
2022-09-21,2.625,2024,1
2022-09-21,2.875,2024,1
2022-09-21,3.125,2024,1
2022-09-21,3.375,2024,3
2022-09-21,3.625,2024,3
2022-09-21,3.875,2024,4
2022-09-21,4.125,2024,2
2022-09-21,4.375,2024,2
2022-09-21,4.625,2024,2
2022-09-21,2.375,2025,4
2022-09-21,2.625,2025,3
2022-09-21,2.875,2025,3
2022-09-21,3.125,2025,4
2022-09-21,3.375,2025,2
2022-09-21,3.625,2025,2
2022-09-21,4.625,2025,1
2022-09-21,2.250,longer_run,6
2022-09-21,2.375,longer_run,1
2022-09-21,2.500,longer_run,8
2022-09-21,2.625,longer_run,1
2022-09-21,3.000,longer_run,2
2022-12-14,4.375,2022,19
2022-12-14,4.875,2023,2
2022-12-14,5.125,2023,10
2022-12-14,5.375,2023,5
2022-12-14,5.625,2023,2
2022-12-14,3.125,2024,1
2022-12-14,3.375,2024,1
2022-12-14,3.875,2024,3
2022-12-14,4.125,2024,7
2022-12-14,4.625,2024,2
2022-12-14,4.875,2024,3
2022-12-14,5.125,2024,1
2022-12-14,5.625,2024,1
2022-12-14,2.375,2025,1
2022-12-14,2.625,2025,4
2022-12-14,2.875,2025,2
2022-12-14,3.125,2025,4
2022-12-14,3.375,2025,2
2022-12-14,3.625,2025,2
2022-12-14,3.875,2025,1
2022-12-14,4.125,2025,1
2022-12-14,4.375,2025,1
2022-12-14,5.625,2025,1
2022-12-14,2.250,longer_run,4
2022-12-14,2.375,longer_run,2
2022-12-14,2.500,longer_run,9
2022-12-14,2.625,longer_run,1
2022-12-14,3.000,longer_run,1
2022-12-14,3.250,longer_run,1
2023-03-22,4.875,2023,1
2023-03-22,5.125,2023,10
2023-03-22,5.375,2023,3
2023-03-22,5.625,2023,3
2023-03-22,5.875,2023,1
2023-03-22,3.375,2024,1
2023-03-22,3.625,2024,1
2023-03-22,3.875,2024,2
2023-03-22,4.125,2024,5
2023-03-22,4.375,2024,2
2023-03-22,4.625,2024,3
2023-03-22,5.125,2024,2
2023-03-22,5.375,2024,1
2023-03-22,5.625,2024,1
2023-03-22,2.375,2025,1
2023-03-22,2.625,2025,2
2023-03-22,2.875,2025,4
2023-03-22,3.125,2025,4
2023-03-22,3.375,2025,2
2023-03-22,3.625,2025,1
2023-03-22,3.875,2025,1
2023-03-22,4.125,2025,1
